table_name,table_description,column_name,description,unit,source
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",xmin_positive,Smallest strictly positive income converted to constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",xmax,Largest income converted to constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",mean,Arithmetic mean income converted to constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",median,Median income converted to constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",std,Sample standard deviation of income converted to constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",income_sum,Sum of income converted to constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",Gini,Gini coefficient computed from the annual analytical income distribution.,dimensionless,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",Pietra,Pietra index computed from the annual Lorenz curve.,dimensionless,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",Kolkata,"Kolkata index as a population fraction, defined by the Lorenz-curve crossing condition.",fraction,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",Kolkata_pct,Kolkata index expressed as a percentage of the population.,%,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",Zanardi,Zanardi inequality index computed from the annual income distribution.,dimensionless,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",top_10,Fraction of total income received by the top 10% of observations ranked by income.,fraction,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",top_1,Fraction of total income received by the top 1% of observations ranked by income.,fraction,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",top_01,Fraction of total income received by the top 0.1% of observations ranked by income.,fraction,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",income_observation_n,Number of strictly positive income observations used in annual publication summaries.,count,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",income_mean_2025_usd,Arithmetic mean of strictly positive annual income in constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",income_median_2025_usd,Median of strictly positive annual income in constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",income_std_2025_usd,Sample standard deviation of strictly positive annual income in constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",p90_p99_population_n,Number of positive-income observations in the 90th to 99th percentile-rank band.,count,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",p90_p99_income_share_pct,Percentage of total positive income received in the 90th to 99th percentile-rank band.,%,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",p90_p99_mean_income_2025_usd,Mean income in the 90th to 99th percentile-rank band in constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",p90_p99_median_income_2025_usd,Median income in the 90th to 99th percentile-rank band in constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",p90_p99_std_income_2025_usd,Income standard deviation in the 90th to 99th percentile-rank band in constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",p99_p999_population_n,Number of positive-income observations in the 99th to 99.9th percentile-rank band.,count,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",p99_p999_income_share_pct,Percentage of total positive income received in the 99th to 99.9th percentile-rank band.,%,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",p99_p999_mean_income_2025_usd,Mean income in the 99th to 99.9th percentile-rank band in constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",p99_p999_median_income_2025_usd,Median income in the 99th to 99.9th percentile-rank band in constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",p99_p999_std_income_2025_usd,Income standard deviation in the 99th to 99.9th percentile-rank band in constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",p999_p100_population_n,Number of positive-income observations in the 99.9th to 100th percentile-rank band.,count,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",p999_p100_income_share_pct,Percentage of total positive income received in the 99.9th to 100th percentile-rank band.,%,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",p999_p100_mean_income_2025_usd,Mean income in the 99.9th to 100th percentile-rank band in constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",p999_p100_median_income_2025_usd,Median income in the 99.9th to 100th percentile-rank band in constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",p999_p100_std_income_2025_usd,Income standard deviation in the 99.9th to 100th percentile-rank band in constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",IPEA,"External IPEA Gini coefficient for the corresponding year, when available.",dimensionless,IPEA auxiliary Gini series + Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",Banco_Mundial,"External World Bank Gini coefficient for the corresponding year, when available.",dimensionless,World Bank auxiliary Gini series + Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",diff_IPEA,Difference between the Stage-03 Gini estimate and the IPEA Gini value.,dimensionless,IPEA auxiliary Gini series + Stage 03 analytical pipeline
statistics_annual.csv,"Annual sample counts, nominal and 2025-US$ income statistics, inequality indices, top-income shares, and external Gini comparisons.",diff_Banco_Mundial,Difference between the Stage-03 Gini estimate and the World Bank Gini value.,dimensionless,World Bank auxiliary Gini series + Stage 03 analytical pipeline
geometric_bins.csv,"Geometric-bin summaries of annual income expressed in constant 2025 US$, using the canonical multiplicative bin ratio 1.10.",year,PNAD or PNAD Contínua survey/reference year.,year,Stage 03 analytical pipeline
geometric_bins.csv,"Geometric-bin summaries of annual income expressed in constant 2025 US$, using the canonical multiplicative bin ratio 1.10.",bin_left,Lower boundary of the geometric income bin in constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
geometric_bins.csv,"Geometric-bin summaries of annual income expressed in constant 2025 US$, using the canonical multiplicative bin ratio 1.10.",bin_right,Upper boundary of the geometric income bin in constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
geometric_bins.csv,"Geometric-bin summaries of annual income expressed in constant 2025 US$, using the canonical multiplicative bin ratio 1.10.",bin_center_geo,Geometric center of the income bin in constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
geometric_bins.csv,"Geometric-bin summaries of annual income expressed in constant 2025 US$, using the canonical multiplicative bin ratio 1.10.",N_bin,Number of observations assigned to the geometric income bin.,count,Stage 03 analytical pipeline
geometric_bins.csv,"Geometric-bin summaries of annual income expressed in constant 2025 US$, using the canonical multiplicative bin ratio 1.10.",mean,Arithmetic mean income converted to constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
geometric_bins.csv,"Geometric-bin summaries of annual income expressed in constant 2025 US$, using the canonical multiplicative bin ratio 1.10.",geometric_mean,Geometric mean income within the bin in constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
geometric_bins.csv,"Geometric-bin summaries of annual income expressed in constant 2025 US$, using the canonical multiplicative bin ratio 1.10.",median,Median income converted to constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
geometric_bins.csv,"Geometric-bin summaries of annual income expressed in constant 2025 US$, using the canonical multiplicative bin ratio 1.10.",std,Sample standard deviation of income converted to constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
geometric_bins.csv,"Geometric-bin summaries of annual income expressed in constant 2025 US$, using the canonical multiplicative bin ratio 1.10.",ccdf,Empirical complementary cumulative distribution evaluated at the bin threshold as a probability.,fraction,Stage 03 analytical pipeline
gompertz_annual.csv,"Annual Gompertz-body estimates, free-intercept diagnostics, bootstrap uncertainties, exponential comparison diagnostics, and body population/income shares.",year,PNAD or PNAD Contínua survey/reference year.,year,Stage 03 analytical pipeline
gompertz_annual.csv,"Annual Gompertz-body estimates, free-intercept diagnostics, bootstrap uncertainties, exponential comparison diagnostics, and body population/income shares.",log_bin_ratio,Multiplicative ratio between consecutive geometric-bin boundaries; fixed at 1.10 in the canonical analysis.,dimensionless,Stage 03 analytical pipeline
gompertz_annual.csv,"Annual Gompertz-body estimates, free-intercept diagnostics, bootstrap uncertainties, exponential comparison diagnostics, and body population/income shares.",normalization_mean_income_adj_2025_usd,"Annual positive-income mean in constant 2025 US$, used to normalize income before regime fitting.",2025 US$,Stage 03 analytical pipeline
gompertz_annual.csv,"Annual Gompertz-body estimates, free-intercept diagnostics, bootstrap uncertainties, exponential comparison diagnostics, and body population/income shares.",positive_income_observation_n,Number of strictly positive income observations entering the normalized distribution analysis.,count,Stage 03 analytical pipeline
gompertz_annual.csv,"Annual Gompertz-body estimates, free-intercept diagnostics, bootstrap uncertainties, exponential comparison diagnostics, and body population/income shares.",gompertz_A,"Canonical Gompertz parameter A fixed by G(0)=100, so A=ln[ln(100)].",dimensionless,Stage 03 analytical pipeline
gompertz_annual.csv,"Annual Gompertz-body estimates, free-intercept diagnostics, bootstrap uncertainties, exponential comparison diagnostics, and body population/income shares.",gompertz_B,Canonical Gompertz slope parameter B estimated by least squares with A fixed.,dimensionless,Stage 03 analytical pipeline
gompertz_annual.csv,"Annual Gompertz-body estimates, free-intercept diagnostics, bootstrap uncertainties, exponential comparison diagnostics, and body population/income shares.",gompertz_r2,Coefficient of determination of the selected fixed-A Gompertz fit in transformed coordinates.,dimensionless,Stage 03 analytical pipeline
gompertz_annual.csv,"Annual Gompertz-body estimates, free-intercept diagnostics, bootstrap uncertainties, exponential comparison diagnostics, and body population/income shares.",gompertz_sse,Sum of squared residuals of the selected fixed-A Gompertz fit in transformed coordinates.,dimensionless,Stage 03 analytical pipeline
gompertz_annual.csv,"Annual Gompertz-body estimates, free-intercept diagnostics, bootstrap uncertainties, exponential comparison diagnostics, and body population/income shares.",gompertz_x_gmax,Upper normalized-income boundary of the selected Gompertz regime.,normalized income,Stage 03 analytical pipeline
gompertz_annual.csv,"Annual Gompertz-body estimates, free-intercept diagnostics, bootstrap uncertainties, exponential comparison diagnostics, and body population/income shares.",gompertz_point_n,Number of binned CCDF points used in the selected Gompertz fit.,count,Stage 03 analytical pipeline
gompertz_annual.csv,"Annual Gompertz-body estimates, free-intercept diagnostics, bootstrap uncertainties, exponential comparison diagnostics, and body population/income shares.",gompertz_selection_status,Rule/status describing how the upper Gompertz boundary was selected.,text,Stage 03 analytical pipeline
gompertz_annual.csv,"Annual Gompertz-body estimates, free-intercept diagnostics, bootstrap uncertainties, exponential comparison diagnostics, and body population/income shares.",gompertz_boundary_A_free,Intercept A from the unconstrained Gompertz linearization used as a boundary and 2009-method diagnostic.,dimensionless,Stage 03 analytical pipeline
gompertz_annual.csv,"Annual Gompertz-body estimates, free-intercept diagnostics, bootstrap uncertainties, exponential comparison diagnostics, and body population/income shares.",gompertz_boundary_B_free,Slope parameter B from the unconstrained Gompertz linearization used as a boundary and 2009-method diagnostic.,dimensionless,Stage 03 analytical pipeline
gompertz_annual.csv,"Annual Gompertz-body estimates, free-intercept diagnostics, bootstrap uncertainties, exponential comparison diagnostics, and body population/income shares.",gompertz_boundary_r2_free,Coefficient of determination of the unconstrained free-intercept Gompertz diagnostic fit.,dimensionless,Stage 03 analytical pipeline
gompertz_annual.csv,"Annual Gompertz-body estimates, free-intercept diagnostics, bootstrap uncertainties, exponential comparison diagnostics, and body population/income shares.",gompertz_population_n,Number of observations assigned below the Gompertz-Pareto transition threshold.,count,Stage 03 analytical pipeline
gompertz_annual.csv,"Annual Gompertz-body estimates, free-intercept diagnostics, bootstrap uncertainties, exponential comparison diagnostics, and body population/income shares.",gompertz_population_pct,Percentage of observations assigned below the Gompertz-Pareto transition threshold.,%,Stage 03 analytical pipeline
gompertz_annual.csv,"Annual Gompertz-body estimates, free-intercept diagnostics, bootstrap uncertainties, exponential comparison diagnostics, and body population/income shares.",gompertz_ccdf_at_x_t_percent,"Gompertz CCDF evaluated at the transition threshold, expressed in percent.",%,Stage 03 analytical pipeline
gompertz_annual.csv,"Annual Gompertz-body estimates, free-intercept diagnostics, bootstrap uncertainties, exponential comparison diagnostics, and body population/income shares.",bootstrap_reps,Number of bootstrap resamples used to estimate the reported bootstrap standard errors.,count,Stage 03 Moura–Ribeiro bootstrap diagnostics
gompertz_annual.csv,"Annual Gompertz-body estimates, free-intercept diagnostics, bootstrap uncertainties, exponential comparison diagnostics, and body population/income shares.",gompertz_B_bootstrap_se,Bootstrap standard error of the canonical fixed-A Gompertz B estimate.,dimensionless,Stage 03 Moura–Ribeiro bootstrap diagnostics
gompertz_annual.csv,"Annual Gompertz-body estimates, free-intercept diagnostics, bootstrap uncertainties, exponential comparison diagnostics, and body population/income shares.",gompertz_A_free_bootstrap_se,Bootstrap standard error of the free-intercept Gompertz A diagnostic.,dimensionless,Stage 03 Moura–Ribeiro bootstrap diagnostics
gompertz_annual.csv,"Annual Gompertz-body estimates, free-intercept diagnostics, bootstrap uncertainties, exponential comparison diagnostics, and body population/income shares.",gompertz_B_free_bootstrap_se,Bootstrap standard error of the free-intercept Gompertz B diagnostic.,dimensionless,Stage 03 Moura–Ribeiro bootstrap diagnostics
gompertz_annual.csv,"Annual Gompertz-body estimates, free-intercept diagnostics, bootstrap uncertainties, exponential comparison diagnostics, and body population/income shares.",exponential_intercept,Intercept of the comparison fit ln F(x)=c-alpha x over the selected Gompertz interval.,dimensionless,Stage 03 exponential-vs-Gompertz diagnostic
gompertz_annual.csv,"Annual Gompertz-body estimates, free-intercept diagnostics, bootstrap uncertainties, exponential comparison diagnostics, and body population/income shares.",exponential_alpha,Positive decay coefficient alpha of the comparison exponential-body fit.,dimensionless,Stage 03 exponential-vs-Gompertz diagnostic
gompertz_annual.csv,"Annual Gompertz-body estimates, free-intercept diagnostics, bootstrap uncertainties, exponential comparison diagnostics, and body population/income shares.",exponential_r2,Coefficient of determination of the comparison exponential-body fit.,dimensionless,Stage 03 exponential-vs-Gompertz diagnostic
gompertz_annual.csv,"Annual Gompertz-body estimates, free-intercept diagnostics, bootstrap uncertainties, exponential comparison diagnostics, and body population/income shares.",gompertz_income_share_pct,Percentage of total income received by observations below the transition threshold.,%,Stage 03 analytical pipeline
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",year,PNAD or PNAD Contínua survey/reference year.,year,Stage 03 analytical pipeline
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",pareto_x_pmin,Lower normalized-income boundary selected for the Pareto tail.,normalized income,Stage 03 analytical pipeline
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",pareto_selection_alpha,Pareto exponent from the candidate tail fit used during threshold selection.,dimensionless,Stage 03 analytical pipeline
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",pareto_selection_r2,Coefficient of determination of the candidate log-log Pareto fit used during threshold selection.,dimensionless,Stage 03 analytical pipeline
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",pareto_selection_status,Rule/status describing how the lower Pareto boundary was selected.,text,Stage 03 analytical pipeline
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",transition_x_t,Normalized-income threshold joining the Gompertz body and Pareto tail.,normalized income,Stage 03 analytical pipeline
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",transition_delta_x_t,Half-width of the gap between selected Gompertz and Pareto boundaries when they do not coincide.,normalized income,Stage 03 analytical pipeline
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",transition_rule,Rule used to define x_t from the selected Gompertz and Pareto boundaries.,text,Stage 03 analytical pipeline
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",pareto_population_n,Number of observations assigned at or above the Pareto transition threshold.,count,Stage 03 analytical pipeline
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",pareto_population_pct,Percentage of observations assigned at or above the Pareto transition threshold.,%,Stage 03 analytical pipeline
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",pareto_alpha_ls,Pareto exponent alpha estimated by log-log least squares.,dimensionless,Stage 03 analytical pipeline
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",pareto_beta_ls,Pareto amplitude beta estimated by log-log least squares on the percent-scale CCDF.,CCDF-percent scale,Stage 03 analytical pipeline
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",pareto_ls_r2,Coefficient of determination of the selected log-log least-squares Pareto fit.,dimensionless,Stage 03 analytical pipeline
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",pareto_ls_sse,Sum of squared residuals of the selected log-log least-squares Pareto fit.,dimensionless,Stage 03 analytical pipeline
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",pareto_alpha_mle,Pareto exponent alpha estimated directly by maximum likelihood above x_t.,dimensionless,Stage 03 analytical pipeline
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",pareto_alpha_mle_fisher_se,Asymptotic Fisher-information standard error of the direct-MLE Pareto exponent.,dimensionless,Stage 03 analytical pipeline
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",pareto_beta_mle_continuity,Pareto amplitude beta determined by enforcing Gompertz-Pareto continuity at x_t.,CCDF-percent scale,Stage 03 analytical pipeline
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",cutoff_normalized,Normalized-income cutoff associated with the selected transition/tail analysis.,normalized income,Stage 03 analytical pipeline
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",cutoff_income_adj,Monetary value of the cutoff converted to constant 2025 US$.,2025 US$,Stage 03 analytical pipeline
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",pareto_alpha,Compatibility field for the canonical Pareto exponent retained in the Stage-03 output.,dimensionless,Stage 03 analytical pipeline
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",pareto_r2,Compatibility field for the canonical Pareto goodness-of-fit statistic retained in the Stage-03 output.,dimensionless,Stage 03 analytical pipeline
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",bootstrap_reps,Number of bootstrap resamples used to estimate the reported bootstrap standard errors.,count,Stage 03 Moura–Ribeiro bootstrap diagnostics
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",pareto_alpha_ls_bootstrap_se,Bootstrap standard error of the log-log least-squares Pareto exponent.,dimensionless,Stage 03 Moura–Ribeiro bootstrap diagnostics
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",pareto_beta_ls_bootstrap_se,Bootstrap standard error of the log-log least-squares Pareto amplitude.,CCDF-percent scale,Stage 03 Moura–Ribeiro bootstrap diagnostics
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",pareto_alpha_mle_bootstrap_se,Bootstrap standard error of the direct-MLE Pareto exponent.,dimensionless,Stage 03 Moura–Ribeiro bootstrap diagnostics
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",pareto_beta_mle_bootstrap_se,Bootstrap standard error of the continuity-based direct-MLE Pareto amplitude.,CCDF-percent scale,Stage 03 Moura–Ribeiro bootstrap diagnostics
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",pareto_alpha_mle_likelihood_se,Likelihood-width standard error of the direct-MLE Pareto exponent following the 2009 prescription.,dimensionless,Stage 03 Moura–Ribeiro likelihood-width diagnostics
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",pareto_beta_mle_likelihood_se,Uncertainty in continuity-based Pareto beta propagated from the likelihood-width alpha uncertainty.,CCDF-percent scale,Stage 03 Moura–Ribeiro likelihood-width diagnostics
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",pareto_mle_r2,Log-scale coefficient of determination of the direct-MLE Pareto curve against the empirical CCDF.,dimensionless,Stage 03 analytical pipeline
pareto_annual.csv,"Annual Pareto-tail boundaries and estimates from log-log least squares and direct maximum likelihood, with Fisher, likelihood-width, and bootstrap uncertainties.",pareto_supported,Whether the selected Pareto tail satisfies the configured support criterion.,boolean,Stage 03 analytical pipeline
